店名 ,住所,電話,営業時間,Webサイト,メモ
レストラン長寿蔵,兵庫県伊丹市中央3-4-15レストラン長寿蔵,TEL：072-773-1111,11:30～21:30（L.O.21:00）,https://r.gnavi.co.jp/ka3t801/,定休日:毎月第２火曜日（祝日の場合は、翌日）
鳥さくイオンモール伊丹昆陽店,兵庫県伊丹市池尻4丁目1-1イオンモ-ル伊丹昆陽4階,TEL：072-778-5026,10時から22時（21:30LO),https://www.torisaku.co.jp/,定休日:施設に準ずる
ぼてぢゅう屋台　イオンモール伊丹店,兵庫県伊丹市藤ノ木1-1-1イオンモ-ル伊丹,TEL：072-775-5534,10:00～22:00,https://www.botejyu.co.jp/,定休日:施設に準ずる
のらや伊丹店,兵庫県伊丹市瑞穂町1-9,TEL：072-775-5430,"平日　11：00～15：00、17：30～22：00
土日祝　11：00～15：00、17：00～22：00",https://www.noraya.com/restaurant/details/itami.php,定休日:不定休
伊丹シティホテル　スカイレストラン　ミナレット,兵庫県伊丹市中央伊丹シティホテル11F,TEL：072-777-7620,"ランチ　11：30～14：30（ＬＯ）
ディナー　完全予約制",https://www.itamicity-h.com/,"定休日:定休日なし
ディナーは要予約"
まつもと食道,兵庫県伊丹市中央4丁目3-20池信3ビル202,TEL：072-781-5835,5時半から11時,,定休日:日曜日
純白そば月山,兵庫県伊丹市中央1-7-18,TEL：072-773-0935,10時から22時,http://itami-higashi.main.jp/shop/tsukiyama/,定休日:無
ＣＡＦＥもこ,兵庫県伊丹市東有岡1-18-1サン伊丹駅前ハイツG号室,TEL：072-746-3308,10時から19時,,定休日:毎週火曜　火曜が祝日の場合は翌日
地中海バル sakagura BODEGA,兵庫県伊丹市伊丹2-2-18コンフォ-ト中喜1階,TEL：072-778-6063,11：30～0：00,https://tabelog.com/hyogo/A2803/A280306/28032264/,定休日:月曜日
ワインショップ＆バル Dos BODEGAs,兵庫県伊丹市伊丹2-3-20和音107,TEL：072-767-6282,12：00～0：00,,定休日:不定休
中華料理　天龍,兵庫県伊丹市昆陽4丁目129,TEL：072-781-3392,"11時から13時30分
17時30分から22時",,定休日:毎週日曜日
来来亭伊丹南店,兵庫県伊丹市安堂寺町3-1-2来来亭伊丹南店,TEL：072-785-1323,"11時～15時
18時～22時",,定休日:毎週火曜日
来来亭伊丹南店,兵庫県伊丹市安堂寺町3-1-2,TEL：072-785-1323,"11時～15時
18時～22時",,定休日:毎週火曜日
ギャラリーカフェ伊丹,兵庫県伊丹市東有岡1-6-2JR伊丹駅2F改札横,TEL：072-764-7758,7時から21時,,定休日:なし
鎌倉パスタ　イオンモール伊丹店,兵庫県伊丹市藤ノ木1-1-1,TEL：072-783-0309,11:00～22:00,,定休日:施設に準ずる
kitchenあっちゃん,兵庫県伊丹市昆陽東6-8-47西伊丹マンション103,TEL：072-714-2395,"11時から15時
17時半から22時",,定休日:毎週火曜日
音羽茶屋　新伊丹店,兵庫県伊丹市梅ノ木6-7-14,TEL：072-785-0671,"【平日】
11:00～14:00
17:00～21:00（LO／21:00）
【土・日・祝】
11:00～21:00（LO／21:00）",http://www.otw.co.jp/shin-itamiten/,"定休日:毎週水曜日
※祝日の場合は営業
元日"
みやび珈琲,兵庫県伊丹市鴻池7-3-8ミリオンタウン伊丹荒牧内,TEL：072-777-0810,8時～20時,,定休日:不定休
Pasta&Pzzeria Creo,兵庫県伊丹市中央2-9-29パセオ三軒寺通リ201,TEL：072-785-8201,11時から２３時,https://creo2013.com/,定休日:毎週水曜日
MIYABI Cafe & Boulangerie,兵庫県伊丹市中野東1-265,TEL：072-767-1845,8時～18時,,定休日:不定休
かに道楽　伊丹店,兵庫県伊丹市鴻池5-9-41,TEL：0120-721-004,11:00～22:00,https://douraku.co.jp/kansai/itami/,定休日:12月31日
開華亭,兵庫県伊丹市西台1-6-24,TEL：072-778-0159,"11:30〜14:00ラストオーダー15分前
18:00〜23:00ラストオーダー15分前",,定休日:毎週水曜日
かつアンドかつ　伊丹大鹿店,兵庫県伊丹市大鹿7-101,TEL：072-771-9195,平日11:00～15:30/17:00～21:00　土日祝11:00～21:30,https://www.katsuandkatsu.jp,定休日:なし　（1月1日のみ休店）
得得うどん伊丹店,兵庫県伊丹市船原2-3-12,TEL：072-784-5928,11:00〜深夜2:00,,定休日:無休
博多もつ鍋極,兵庫県伊丹市西台3丁目8-1伊丹グリ-ンハイツ1F,TEL：072-785-5058,17時から24時,https://r.gnavi.co.jp/k726603/,定休日:毎週火曜日
伊丹シティホテル　中国料理　四川,兵庫県伊丹市中央伊丹シティホテル1F,TEL：072-777-1981,"ランチ　　11：30～14：30（ＬＯ）
ディナー　17：00～19：30（ＬＯ）",https://www.itamicity-h.com/,定休日:定休日なし
伊丹シティホテル　レストラン　Passage,兵庫県伊丹市中央伊丹シティホテル1F,TEL：072-777-1981,"朝食　　　7：00～10：00
ランチ　11：30～14：30
ディナー　営業当面休止",https://www.itamicity-h.com/,定休日:定休日なし
伊丹シティホテル　ロビーラウンジ　Refrain,兵庫県伊丹市中央伊丹シティホテル1F,TEL：072-777-2091,10：00～19：00（LO）,https://www.itamicity-h.com/,定休日:定休日なし
伊丹シティホテル　日本料理　いな乃,兵庫県伊丹市中央伊丹シティホテル4F,TEL：072-777-2270,"ランチ　　11：30～14：30（LO)
ディナー　17：00～19：30（LO）",https://www.itamicity-h.com/,定休日:定休日なし
中華こまめや,兵庫県伊丹市昆陽3-248-1,TEL：072-770-7673,"11時30分から14時
17時30分から22時",,定休日:毎週水曜日　第二木曜日
魚政しばせん,兵庫県伊丹市中央1丁目5-5オイコス吉野ビル1階,TEL：072-768-9165,12:00〜LAST,https://www.nofish-nolife.com/,定休日:不定休
伊丹直球酒場　吉田,兵庫県伊丹市中央1-9-22パ-ルハイツ1階,TEL：072-772-7339,17時から24時,,定休日:不定休
天からてん　伊丹昆陽店,兵庫県伊丹市昆陽5-139,TEL：072-772-5277,10時30分〜22時,,定休日:なし
108 ichi-maru-hachi,兵庫県伊丹市伊丹2-3-20-108号,TEL：050-5450-3218,11時から18時,,定休日:毎週水曜日
創料理　たちばな,兵庫県伊丹市野間2-5-10,TEL：072-783-5100,11時半から21時,http://s-tachibana.com,定休日:不定休
ほこ〜魚菜と地酒〜,兵庫県伊丹市中央2-4-12,TEL：072-775-2918,17時〜23時,,定休日:日曜日
割烹うしお,兵庫県伊丹市西台,TEL：072-772-0446,11時から22時,,定休日:不定休
KICHIRI 阪急伊丹駅前店,兵庫県伊丹市中央1-5-5吉野ビル1F,TEL：072-780-0038,不定,,定休日:不定休
MEN-YA  KOTOHOGI,兵庫県伊丹市昆陽,TEL：072-714-4056,"11:30-14:00,18:00-22:00",,定休日:毎週水曜日、木曜日
焼肉とも,兵庫県伊丹市緑ケ丘1丁目310西口マンション102号,TEL：072-784-8929,17時から22時,,定休日:毎週木曜日
無国籍料理SANTA no SHIPPO,兵庫県伊丹市中央6-1-6伊丹ビル2F,TEL：072-778-3800,17時から26時,https://www.hotpepper.jp/strJ000661101/,定休日:毎週月曜日
CAFE Blanche～カフェブランシュ～,兵庫県伊丹市南本町2丁目2-14,TEL：072-775-5303,"火～土　　18時～22時
土日のみ　11時～14時",,定休日:毎週月曜日
野菜とつぶつぶ　アプサラカフェ,兵庫県伊丹市西台1-1-1リ-タ4F,TEL：072-764-7101,"11：00~21：00(ラストオーダー20：30）
火曜日のみ16時閉店",http://hakff.sakura.ne.jp/apsaracafe/index.html,定休日:1月1日・2日
クロスロードカフェ,兵庫県伊丹市中央3-2-4,TEL：072-777-1369,11時から20時,,定休日:毎週火曜日
サーティワンアイスクリームイオンモール伊丹昆陽店,兵庫県伊丹市池尻4-1-1,TEL：072-778-9231,１０時から２１時,https://www.31ice.co.jp/,定休日:なし
成田屋　伊丹店,兵庫県伊丹市瑞穂町6丁目47番地,TEL：072-782-5899,11時30分から22時まで,,定休日:毎週火曜日
やきとり　しげ,兵庫県伊丹市荒牧南3丁目5-5ツインエクセルホリコ101,TEL：072-782-4302,16:30から22:30,,定休日:毎週月曜日
花水木伊丹店,兵庫県伊丹市西台1-7-1伊丹阪急駅ビル(リ-タ)4階,TEL：072-775-0363,10：30～21：00　LO 20:45,https://www.hanamizuki-55.jp/,定休日:年2回
鳥心,兵庫県伊丹市宮ノ前2-1-6,TEL：072-773-1612,15時ー23時,,定休日:不定休
ﾋﾟｯﾂｪﾘｱﾋﾛ,兵庫県伊丹市西台5-7-22田原ビル102,TEL：072-768-9615,"11:30〜14:00
17:30〜20:00",,定休日:毎週火曜日
和食さと　伊丹北店,兵庫県伊丹市北本町2-25,TEL：072-777-3462,11時から23時,https://sato-res.com/store/0727773462/,定休日:年中無休
さん天　伊丹昆陽店,兵庫県伊丹市奥畑2-184-1,TEL：072-767-1534,10時30分から24時,https://sato-res.com/store/0727671534/,定休日:1月1日
ワンカルビ伊丹南野店,兵庫県伊丹市南野5-14-6,TEL：072-773-8829,17:00～23:00／土曜日　12:00～14:00・16:00～24:00／日曜日祝日　12:00～14:00・16:00～23:00,http://www.1dining.co.jp/,定休日:1月1日
ワンカルビ伊丹寺本店,兵庫県伊丹市寺本6-71-1,TEL：072-771-8929,17:00～23:00／土曜日　12:00～14:00・16:00～24:00／日曜日祝日　12:00～14:00・16:00～23:00,http://www.1dining.co.jp/,定休日:1月1日
たいがええねん,兵庫県伊丹市西台1-2-6山本不動産第二ビルB1,TEL：072-773-3345,17：00～01：00,,定休日:不定休
肉ばっかやん,兵庫県伊丹市中央1-5-5吉野ビル1階,TEL：072-784-2911,ランチ11：30～14：00　ディナー17：00～01：00,,定休日:不定休
餃子の王将尼宝線寺本店,兵庫県伊丹市寺本6-68-1,TEL：072-784-5445,"月～土／11:00～23:00（ラストオーダー22:30）
日／11:00～22:30（ラストオーダー22:00）",https://www.ohsho.co.jp/,定休日:なし
王将フードサービスFC伊丹店,兵庫県伊丹市中央1-4-7ワタナベビル1F,TEL：072-784-1387,11時から22時,,定休日:毎週火曜日　
餃子の王将伊丹緑ヶ丘店,兵庫県伊丹市緑ケ丘1-205-1,TEL：072-785-2188,11:00～22:30（ラストオーダー22:00）,https://www.ohsho.co.jp/,定休日:なし
犇屋伊丹店,兵庫県伊丹市瑞ケ丘一丁目41番地,TEL：072-778-0129,"【月～金】ディナー
17:00～24:00（L.O.23:00、ドリンクL.O.23:30）

【土・日・祝】ランチ
11:30～15:00（L.O.14:00）
週末限定ランチメニュー（1,150円～）ございます。

【土・日・祝】ディナー
16:00～24:00（L.O.23:00、ドリンクL.O.23:30）",,定休日:なし
ヘブンズキッチンひがしのたまご,兵庫県伊丹市瑞穂町5丁目8番地,TEL：072-782-6006,11時〜23時(LO22時30分),https://www.heavenskitchen-pasta.net/,定休日:不定休
お好み焼きはここやねん伊丹山田店,兵庫県伊丹市山田4-8-43,TEL：072-787-4194,"【月～金】
17:00～24:00（L.O.23:00）
【土・日・祝】
11:30～24:00（L.O.23:00）",https://www.cocoyanen.jp/,定休日:年中無休
串家物語　イオンモール伊丹,兵庫県伊丹市藤ノ木1-1-1イオンモ-ル伊丹3F,TEL：072-781-3922,11:00～22:00(ランチラスト入店15:30、ディナーLO.21:30),http://www.fujiofood.com/,定休日:テナントに準ずる
イタリアンレストランアントン,兵庫県伊丹市西台3-1-12,TEL：072-770-2923,"11:30〜15:00
17:00〜21:00",,定休日:毎週水曜日
釜飯と串焼 とりでん 伊丹瑞ヶ丘店,兵庫県伊丹市瑞ケ丘1-17,TEL：072-771-8994,17:00～24:00（L.O.23:30）,https://toridenitami.gorp.jp/,定休日:無休
だんらん処一,兵庫県伊丹市伊丹市中央3-1-28,TEL：072-784-8615,11時から26時,http://danrandokoro-ichi.com/,定休日:毎週水曜日(祝前日は営業)
伊丹うまか家 山酎,兵庫県伊丹市西台伊丹グリ-ンハイツ1FD号室,TEL：072-767-7073,17時~24時,https://r.gnavi.co.jp/3e50aw0m0000/?sc_cid=amp_t_new_info,定休日:不定休
鉄板焼・お好み焼　とみ,兵庫県伊丹市荻野6-44-5,TEL：072-784-6262,"11時30分～14時
16時30分～21時30分",,定休日:毎週日曜日
三代目鳥メロ　阪急伊丹駅前店,兵庫県伊丹市中央1-5-5ボントンビル地下1F,TEL：072-773-5153,"平日　17時から深夜１時
金、土、祝前日　17時から深夜3時",,定休日:なし
びっくりドンキー伊丹店,兵庫県伊丹市広畑2-22-1,TEL：072-782-9202,11時から26時,,定休日:なし
丸源ラーメン伊丹店,兵庫県伊丹市瑞穂町1-13-1,TEL：072-770-2929,11時から25時,,定休日:なし
ラーメン来来,兵庫県伊丹市緑ケ丘5-16-1,TEL：072-785-2979,"11:30～13:30
17:00～22:30",,定休日:毎週火曜日、年末年始
カレーハウスCoCo壱番屋　伊丹国道171号店,兵庫県伊丹市千僧2-5,TEL：072-771-8660,11時から23時,,定休日:年中無休
鳥貴族 伊丹店,兵庫県伊丹市中央1-6-14-2階,TEL：072-744-2323,P.M.5:00～A.M.1:00(LO A.M.0:30),http://torikizoku.co.jp/store/l/-/-/164,定休日:12/31、1/1
た藁や 伊丹店,兵庫県伊丹市中央1-6-61F,TEL：072-767-1300,"月～木・日・祝日17:00-23:00 (LO 22:30)
金・土・祝前日17:00~24:00(LO 23:30)",https://tawaraya.cosmicdiner.jp/itami/,定休日:年末年始
鍛冶二丁 伊丹店,兵庫県伊丹市中央1-6-62F,TEL：072-764-6665,17:00-24:00 (フードLO 23:00/ドリンクLO 23:30),,定休日:年末年始
餃子の王将  伊丹昆陽店,兵庫県伊丹市昆陽南1丁目2-1,TEL：072-772-3630,"11時から14時30分
17時から21時",,定休日:毎週火曜日
カスウドンガチンコ伊丹店,兵庫県伊丹市中央1-5-18-103,TEL：072-785-8228,"月曜〜木曜日18:00-3:00
金曜、土曜、祝前日17:00-5:00
日曜日17:00-1:00",,定休日:無し
じゅうじゅうカルビ伊丹堀池店,兵庫県伊丹市堀池3-9-30,TEL：072-773-1129,11：00～23：30,https://www.tomato-a.co.jp/,定休日:なし
タベルナペコリーノ,兵庫県伊丹市西台3-1-1,TEL：072-777-3077,"11:30-14:00
18:00-23:00",,定休日:毎週月曜日（祝日の場合は翌火曜日）
やよい軒阪急伊丹店,兵庫県伊丹市中央1-4-2クラスト伊丹2階,TEL：072-773-5355,10時～23時,https://www.yayoiken.com/,定休日:1月1日～1月3日
黄金の角煮と奄美焼酎90種　奄んちゅ,兵庫県伊丹市伊丹2-2-12-2,TEL：072-786-1611,17:30〜23:30,http://www.amanchu.info/,定休日:不定休
心ち,兵庫県伊丹市中央4-3-20-101,TEL：080-5363-3107,18時から23時,,定休日:日曜日
村さ来阪急伊丹駅前店,兵庫県伊丹市西台伊丹駅前サンハイツ106,TEL：072-768-6637,17時から24時,https://r.gnavi.co.jp/amp/k651905/,定休日:定休日なし
(有)すし善,兵庫県伊丹市中央2-9-12,TEL：072-782-2344,"11時半から14時半
17時から21時半",,定休日:毎週月曜日
ココス伊丹池尻店,兵庫県伊丹市池尻1-171,TEL：072-780-2359,"平　日 10：00～深夜2：00
土日祝 7：00～深夜2：00",https://www.cocos-jpn.co.jp,定休日:無し
串かつ　やんなか,兵庫県伊丹市伊丹2丁目2-12-1,TEL：072-781-8655,17時から23時,,定休日:不定休
ダイニングバルオンズ。,兵庫県伊丹市伊丹二丁目3-20和音102,TEL：072-773-1250,"11:30〜15:00
17:00〜24:00",,"定休日:火曜水曜
月曜日はディナーのみ"
ヒロコーヒー伊丹中央店,兵庫県伊丹市中央1丁目2-23(ファミ-ル伊丹デュオ1F),TEL：072-782-1077,9時から19時,https://www.hirocoffee.co.jp/shop/shop_itamichuo.html,定休日:年始
炭焼　雄星,兵庫県伊丹市中央1-4-7ワタナベビル102号,TEL：072-784-0787,現現地にお問い合わせ下さい。,,定休日:現現地にお問い合わせ下さい。
鉄板　松,兵庫県伊丹市中央1-7-14,TEL：080-3859-2686,13時から24時,,定休日:毎週水曜日
立ち飲み処松,兵庫県伊丹市中央1-9-2パ-ルハイツ1-F,TEL：090-3709-0130,13時から21時,,定休日:毎週火曜日
白雪ブルワリーレストラン　長寿蔵,兵庫県伊丹市中央3丁目4-15,TEL：072-773-1111,11：30～21：00,https://r.gnavi.co.jp/ka3t801/,定休日:第二火曜日
伊丹ミートセンター店,兵庫県伊丹市瑞穂町1-40,TEL：072-773-6541,ランチ11:30	～	15:00	ディナー15:00	～	23:00,,定休日:なし
cafe Mon,兵庫県伊丹市中央1-1-1伊丹市中央1-1-1伊丹ショッピングデパ-ト5階cafeMon,TEL：072-782-6672,10時〜20時,,定休日:月一回火曜日不定
ＭｉＬＤＡ　Ｃａｆｅ,兵庫県伊丹市西台3-5-21,TEL：072-767-1577,12時から18時,http://www.mildacafe.com/,定休日:不定休
ラーメンまこと屋伊丹山田店,兵庫県伊丹市山田5-6-1ラ-メンマコト屋,TEL：072-785-3115,11：00～翌1：00,https://www.makotofood.co.jp/,定休日:定休日なし
ラーメンまこと屋伊丹瑞ケ丘店,兵庫県伊丹市瑞ケ丘1-22ラ-メンマコト屋,TEL：072-770-6663,11：00～0：00,https://www.makotofood.co.jp/,定休日:定休日なし
WINDWARD GRILL,兵庫県伊丹市西台2-5-9,TEL：072-764-6664,"11:30～14:00
17:30～Last",https://windwardgrill.jp/sp/index.html,定休日:毎週火曜日
料理家六,兵庫県伊丹市伊丹2丁目1-17,TEL：072-778-2339,"ランチ11時半〜14時
夜17時〜22時半LO23時閉店",,定休日:毎週木曜日
すし楽,兵庫県伊丹市伊丹1-8-24,TEL：072-785-1087,17時から24時,,定休日:毎週月曜日、不定期火曜日
麺屋巧,兵庫県伊丹市行基町3-16-9花川ビル1階,TEL：072-785-3835,11時から14時と18時から23時,,定休日:毎週木曜日と毎週月曜日の夜
玄品伊丹,兵庫県伊丹市中央1-8-17,TEL：072-772-3229,お問い合わせください,,定休日:お問い合わせください
珈琲館　伊丹店,兵庫県伊丹市西台1-2-6山本不動産第2ビルB1F,TEL：072-782-2588,お問い合わせください,,定休日:お問い合わせください
やきやき鉄板はる田,兵庫県伊丹市中央1丁目5-18伊丹中央プラザ2階,TEL：072-772-8989,"平日、休日18時から23時
休日前18時から24時",https://hitosara.com/0005022915/,定休日:不定休
濵鮓,兵庫県伊丹市西台1-2-6山本不動産第二ビル,TEL：072-775-1813,５時から１０時,,定休日:毎週水曜日
kappoむら井,兵庫県伊丹市西台1-5-10,TEL：072-767-6009,"18:00〜27:00(L.O.26:00)
※ランチタイムは要予約",,定休日:不定休
cafe bar copin,兵庫県伊丹市中央1-5-18伊丹中央プラザビル3階,TEL：070-5660-0815,"平日１７：００～２３：００
土日祝１５：００～２３：００
ラストオーダー２２：３０",,定休日:不定休
ヒロコーヒー伊丹いながわ店,兵庫県伊丹市北伊丹5-15-1,TEL：072-775-1030,8時から19時,https://www.hirocoffee.co.jp/shop/shop_inagawa.html,定休日:年始
希望新風R171伊丹店,兵庫県伊丹市森本,TEL：072-785-2014,11時から24時,http://k-smp.com,定休日:年中無休
タリーズコーヒー伊丹店,兵庫県伊丹市中央3丁目5番1号,TEL：072-783-1010,７時～２３時（LO22時３０分）,,定休日:なし
洋麺屋五右衛門伊丹店,兵庫県伊丹市鴻池5-1-22,TEL：072-787-6370,https://www.yomenya-goemon.com/,https://www.yomenya-goemon.com/,定休日:なし
呑み処一,兵庫県伊丹市中央6-1-2,TEL：072-764-7696,平日17:00～24:00、土日14:00～24:00,http://danrandokoro-ichi.com/,定休日:毎週水曜日(祝前日は営業)、月1で不定休
山陰鮮魚炭火焼居酒屋地力,兵庫県伊丹市伊丹3丁目1番12号,TEL：080-4649-4319,17時00分〜23時00分,http://chiriki.jp,定休日:毎週日曜、月曜
創作居酒屋　彩華,兵庫県伊丹市行基町2丁目58-3,TEL：072-770-9145,店舗にお問い合わせ下さい,,定休日:店舗にお問い合わせ下さい
みどり園本店,兵庫県伊丹市西台1丁目8-3,TEL：072-772-5339,お問い合わせください,,定休日:お問い合わせください
みどり園リータ店,兵庫県伊丹市西台1丁目1ノ1,TEL：072-772-3562,お問い合わせください,,定休日:お問い合わせください
もてなし　つつ井,兵庫県伊丹市伊丹2丁目3-20和音104号,TEL：072-781-0221,"昼 11:30〜14:00(最終入店13:00)
夜 17:30〜22:00(最終入店20:00)",https://motenashi-tsutsui.com/,"定休日:水曜日
(日曜日は昼のみ営業)"
丸亀製麺伊丹,兵庫県伊丹市寺本6-69-1,TEL：072-784-3025,11:00～22:00,https://www.marugame-seimen.com/?_ga=2.84588185.1015943313.1602234314-1187220268.1530784986,定休日:不定休
丸亀製麺イオンモール伊丹,兵庫県伊丹市藤ノ木1-1-1イオンモ-ル伊丹3F,TEL：072-787-6123,10:00～22:00,https://www.marugame-seimen.com/?_ga=2.84588185.1015943313.1602234314-1187220268.1530784986,定休日:不定休
丸亀製麺伊丹南町,兵庫県伊丹市南町3-2-10,TEL：072-784-8255,11:00～22:00,https://www.marugame-seimen.com/?_ga=2.84588185.1015943313.1602234314-1187220268.1530784986,定休日:不定休
ジョニーのからあげ伊丹本店,兵庫県伊丹市中央4-3-21-101池信第三ビル,TEL：072-782-4221,"12時から15時　17時から23時
日曜・祝日は、21時頃閉店予定",https://oitakaraage.com,定休日:不定休
すき家　伊丹野間店,兵庫県伊丹市南野北5丁目3-28,TEL：0000000000,0時～24時,,定休日:なし　
居酒屋さくら,兵庫県伊丹市西台3丁目2-36,TEL：072-778-1111,"11:30〜14:00
17:00〜24:00",https://izakaya-sakura.jp,"定休日:ランチ　日曜日
夜営業　木曜日"
すき家　伊丹瑞穂店,兵庫県伊丹市瑞穂町2-21,TEL：0000000000,0時～24時,,定休日:なし
すき家　阪急伊丹店,兵庫県伊丹市中央1-6-14,TEL：0000000000,0時～24時,,定休日:なし
ザめしや伊丹南,兵庫県伊丹市南町3-1-7,TEL：072-785-9881,11時から０時,http://www.meshiya.co.jp/shop/970/,定休日:なし
街かど屋伊丹市役所前,兵庫県伊丹市広畑2-41-1,TEL：072-773-7911,7時から0時,http://www.meshiya.co.jp/shop/7730/,定休日:無し
街かど屋伊丹山田店,兵庫県伊丹市山田4-6-48,TEL：078-783-2771,7時から０時,http://www.meshiya.co.jp/shop/9074/,定休日:無し
創作中華　扇　,兵庫県伊丹市伊丹1丁目8-25-1,TEL：072-747-3338,店舗でお問い合わせ下さい。,,定休日:店舗でお問い合わせ下さい。
餃子酒家金GOLD,兵庫県伊丹市西台2-4-8星和ビル,TEL：072-777-6372,11:30〜23:30,,定休日:不定休
大阪王将西野バス亭前店,兵庫県伊丹市中野西4丁目74番地,TEL：072-783-0590,現地にお問い合わせください,,定休日:現地にお問い合わせください
うなぎ濱名,兵庫県伊丹市伊丹3-1-44,TEL：072-782-5555,"昼 11:30~14:30（最終入店 14:00）
夜 17:30~22:00（最終入店 21:15）",,定休日:水曜日（祝日営業・水曜予約は要相談）
肉のヤマキ商店イオンモール伊丹,兵庫県伊丹市藤ノ木1-1-1イオンモ-ル伊丹3F,TEL：072-779-5580,10:00～22:00,https://nikuno-yamaki.com/,定休日:なし
鉄板居酒屋こしん,兵庫県伊丹市中央4丁目3-20池信第三ビル102,TEL：072-777-4966,18時～last,,定休日:不定休
ヒロコーヒー伊丹あらまき店,兵庫県伊丹市荒牧7-10-5,TEL：072-771-1060,8時から19時,https://www.hirocoffee.co.jp/shop/shop_aramaki.html,定休日:年始
宮っ子ラーメン　伊丹店,兵庫県伊丹市荻野8-52,TEL：072-784-3733,"11：00～24：00
（ラストオーダー　23：30）",https://miyakko-itami.1net.jp/map.html,定休日:毎月第３月曜日
牛たん仙台なとりイオンモール伊丹店,兵庫県伊丹市藤ノ木1-1-1イオンモ-ル伊丹店3階,TEL：072-767-1629,10時から21時,,定休日:年中無休
大陸飯店,兵庫県伊丹市西台5丁目7-25,TEL：072-773-0146,店舗でお問い合わせ下さい。,,定休日:店舗でお問い合わせ下さい。
カレー専門店ナゴミヤ,兵庫県伊丹市伊丹1-8-22-2,TEL：072-767-6510,"11時-15時
17時-21時",,定休日:不定休
奥出雲そば処一福岡,兵庫県伊丹市伊丹1-8-22-3,TEL：072-779-8050,11時-21時,,定休日:不定休
ももここ亭,兵庫県伊丹市瑞穂町2丁目16-1みずほマンション104,TEL：072-771-2989,店舗でお問い合わせ下さい。,,定休日:店舗でお問い合わせ下さい。
